date,produit,categorie,quantite,prix_unitaire,ville
2026-01-01,Clavier,Informatique,2,300,Casablanca
2026-01-02,Souris,Informatique,5,120,Rabat
2026-01-03,Ecran,Informatique,1,2200,Casablanca
2026-01-04,Chaise,Mobilier,3,850,Marrakech
2026-01-05,Bureau,Mobilier,1,1500,Rabat
2026-01-06,Clavier,Informatique,4,300,Tanger
2026-01-07,Chaise,Mobilier,2,850,Casablanca
2026-01-08,Tablette,Electronique,3,3200,Fes
2026-01-09,Lampe,Mobilier,6,180,Agadir
2026-01-10,Imprimante,Informatique,2,1700,Casablanca
2026-01-11,Routeur,Informatique,5,450,Rabat
2026-01-12,Canape,Mobilier,1,5400,Marrakech
2026-01-13,Ecouteurs,Electronique,7,250,Tanger
2026-01-14,Smartphone,Electronique,4,4200,Fes
2026-01-15,Bureau,Mobilier,2,1500,Casablanca
2026-01-16,Clavier,Informatique,3,300,Agadir
2026-01-17,Souris,Informatique,8,120,Rabat
2026-01-18,Ecran,Informatique,2,2200,Tanger
2026-01-19,Chaise,Mobilier,5,850,Fes
2026-01-20,Table, Mobilier,2,2300,Marrakech
2026-01-21,Camera,Electronique,1,3900,Casablanca
2026-01-22,Projecteur,Electronique,2,5100,Rabat
2026-01-23,Lampe,Mobilier,10,180,Agadir
2026-01-24,Imprimante,Informatique,1,1700,Tanger
2026-01-25,Routeur,Informatique,6,450,Casablanca
2026-01-26,Canape,Mobilier,1,5400,Fes
2026-01-27,Smartphone,Electronique,3,4200,Marrakech
2026-01-28,Ecouteurs,Electronique,9,250,Rabat
2026-01-29,Clavier,Informatique,5,300,Casablanca
2026-01-30,Souris,Informatique,7,120,Agadir
2026-01-31,Ecran,Informatique,1,2200,Fes
2026-02-01,Chaise,Mobilier,4,850,Tanger
2026-02-02,Bureau,Mobilier,2,1500,Rabat
2026-02-03,Tablette,Electronique,2,3200,Casablanca
2026-02-04,Lampe,Mobilier,8,180,Marrakech
2026-02-05,Imprimante,Informatique,3,1700,Agadir
2026-02-06,Routeur,Informatique,4,450,Fes
2026-02-07,Canape,Mobilier,1,5400,Casablanca
2026-02-08,Ecouteurs,Electronique,5,250,Tanger
2026-02-09,Smartphone,Electronique,2,4200,Rabat
2026-02-10,Camera,Electronique,1,3900,Marrakech
2026-02-11,Projecteur,Electronique,1,5100,Casablanca
2026-02-12,Clavier,Informatique,6,300,Fes
2026-02-13,Souris,Informatique,9,120,Tanger
2026-02-14,Ecran,Informatique,2,2200,Rabat
2026-02-15,Chaise,Mobilier,3,850,Agadir
2026-02-16,Bureau,Mobilier,1,1500,Casablanca
2026-02-17,Tablette,Electronique,4,3200,Marrakech
2026-02-18,Lampe,Mobilier,7,180,Rabat
2026-02-19,Imprimante,Informatique,2,1700,Fes
2026-02-20,Routeur,Informatique,3,450,Casablanca
